USER       PID COMMAND                      MINFL
root      7783 [kworker/1:2]                    0
root      7784 [kworker/2:3]                    0
root      7800 [kworker/2:4]                    0
root      7802 [kworker/u8:1]                   0
root      7803 [kworker/u8:2]                   0
root      7822 [kworker/1:3]                    0
root      7825 [kworker/1:4]                    0
root      7840 [kworker/u8:3]                   0
root      7841 [kworker/u8:4]                   0
root      7842 [kworker/u8:5]                   0
root      7843 [kworker/u8:6]                   0
root      7844 [kworker/u8:7]                   0
root      7845 [kworker/u8:8]                   0
root      7846 [kworker/u8:9]                   0
root      7847 [kworker/u8:10]                  0
root      7848 [kworker/u8:12]                  0
root      7849 [kworker/u8:13]                  0
root      7850 [kworker/u8:14]                  0
root      7851 [kworker/u8:15]                  0
root      7852 [kworker/u8:16]                  0
root      7853 [kworker/u8:17]                  0
root      7854 [kworker/u8:18]                  0
root      7855 [kworker/u8:19]                  0
root      7856 [kworker/u8:20]                  0
root      7857 [kworker/u8:21]                  0
root      7858 [kworker/u8:22]                  0
root      7859 [kworker/u8:23]                  0
root      7860 [kworker/u8:24]                  0
root      7861 [kworker/u8:25]                  0
root      7862 [kworker/u8:26]                  0
root      7863 [kworker/u8:27]                  0
root      7864 [kworker/u8:28]                  0
root      7865 [kworker/u8:29]                  0
root      7866 [kworker/u8:30]                  0
root      7867 [kworker/u8:31]                  0
root      7868 [kworker/u8:33]                  0
root      7869 [kworker/u8:34]                  0
root      7870 [kworker/u8:35]                  0
root      7871 [kworker/u8:36]                  0
root      7872 [kworker/u8:37]                  0
root      7873 [kworker/u8:38]                  0
root      7874 [kworker/u8:39]                  0
root      7875 [kworker/u8:40]                  0
root      7876 [kworker/u8:41]                  0
root      7877 [kworker/u8:42]                  0
root      7878 [kworker/u8:44]                  0
root      7879 [kworker/u8:45]                  0
root      7880 [kworker/u8:46]                  0
root      7881 [kworker/u8:47]                  0
root      7882 [kworker/u8:48]                  0
root      7883 [irq/128-mei_me]                 0
root      7900 [kworker/u9:0]                   0
root      7902 [kworker/u9:1]                   0
root      7928 [kworker/u9:2]                   0
jainebu+  8025 /opt/google/chrome/chrome   110795
jainebu+  8031 cat                            114
jainebu+  8032 cat                            119
jainebu+  8035 /opt/google/chrome/chrome -   3984
